S.no,title,price,oldPrice,discount
1,United Colors Benetton Navy Olive FlipFlops F ...,299,499,-40%
2,United Colors Benetton Black Orange FlipFlops ...,299,499,-40%
3,United Colors Benetton Black Blue FlipFlops F ...,299,499,-40%
4,United Colors Benetton Red Flip-flops For Men,299,499,-40%
5,United Colors Benetton Yellow Flip-Flops For  ...,299,499,-40%
6,United Colors of Benetton Men's EVA Flip-Flop ...,499,not-found,not-found
7,United Colors of Benetton Men's EVA Flip-Flop ...,499,not-found,not-found
8,United Colors of Benetton Sky & Navy Men's EV ...,479,499,-4%
9,United Colors Benetton Navy & Red Flip-Flops  ...,299,499,-40%
10,United Colors Benetton Olive & Grey Flip-Flop ...,299,499,-40%
11,United Colors of Benetton Men's Flip-Flops an ...,479,499,-4%
12,United Colors of Benetton Men's Red Flip-Flop ...,485,499,-3%
13,United Colors of Benetton Men's Flip-Flops an ...,479,499,-4%
14,United Colors of Benetton Men's Red Slippers  ...,485,499,-3%
15,United Colors Benetton Blue FlipFlops For Men,299,499,-40%
16,United Colors Benetton Black & Aqua Blue Flip ...,299,499,-40%
17,United Colors of Benetton Men's orange and na ...,479,499,-4%
18,United Colors of Benetton Red Men's Flip-Flop ...,485,499,-3%
19,United Color'S Of Benetton Men's Red Flip Flo ...,479,499,-4%
20,United Colors of Benetton Men Blue Sneakers,2099,2999,-30%
21,United Colors of Benetton Men Blue Sneakers,2099,2999,-30%
22,United Colors Of Benetton Men Casual,2699,3499,-23%
23,United Color'S Of Benetton Men's Red Flip Flo ...,479,499,-4%
24,United Colors of Benetton Men's Grey and Blue ...,479,499,-4%
25,United Colors of Benetton Men's Charcoal and  ...,479,499,-4%
26,United Colors of Benetton Women's Blue Flip-F ...,499,not-found,not-found
27,United Colors of Benetton Men Black Loafers,2799,3999,-30%
28,United Colors of Benetton Men Grey Loafers,3009,4299,-30%
29,United Colors of Benetton Men Pink Sneakers,2099,2999,-30%
30,United Colors of Benetton Men Black Loafers,2449,3499,-30%
31,United Colors of Benetton Women's Red Flip-Fl ...,499,not-found,not-found
32,United Colors of Benetton Women's SLIPPERS-UK ...,479,499,-4%
33,United Colors of Benetton Men Black Sneakers,2449,3499,-30%
34,United Colors Of Benetton Men's Eva Flip-flop ...,499,not-found,not-found
35,United Colors of Benetton Men Maroon Loafers,2449,3499,-30%
36,United Colors of Benetton Men Navy Blue Slipp ...,1049,1499,-30%
37,United Colors of Benetton Men Grey Slippers,1049,1499,-30%
38,United Colors of Benetton Men Navy Blue Loafe ...,3009,4299,-30%
39,United Colors of Benetton Men Navy Blue Sneak ...,2099,2999,-30%
40,United Colors of Benetton Men Grey Casual Sho ...,1329,1899,-30%
41,United Colors of Benetton Men Tan Loafers,2449,3499,-30%
42,United Colors of Benetton Men Orange Sneakers,2099,2999,-30%
43,United Colors of Benetton Men Grey Loafers,2449,3499,-30%
44,United Colors of Benetton Men Black Slippers,1049,1499,-30%
45,United Colors of Benetton Men Tan Casual Shoe ...,3499,4999,-30%
46,United Colors of Benetton Men Maroon Slippers,1049,1499,-30%
47,United Colors of Benetton Men Olive Sneakers,2309,3299,-30%
48,United Colors of Benetton Men Olive Casual Sh ...,1749,2499,-30%
49,United Colors of Benetton Men Navy Blue Loafe ...,2449,3499,-30%
50,United Colors of Benetton Men Blue Sneakers,2309,3299,-30%
51,United Colors of Benetton Men White Sneakers,2449,3499,-30%
52,United Colors of Benetton Men Black Sneakers,1959,2799,-30%
53,United Colors of Benetton Men Black Sneakers,1749,2499,-30%
54,United Colors of Benetton Men Turquoise Casua ...,1329,1899,-30%
55,United Colors of Benetton Men Tan Sneakers,1609,2299,-30%
56,United Colors of Benetton Men Yellow Sneakers,2099,2999,-30%
57,United Colors of Benetton Men Black Casual Sh ...,1329,1899,-30%
58,United Colors of Benetton Men Olive Sneakers,2449,3499,-30%
59,United Colors of Benetton Men Blue Sneakers,1959,2799,-30%
60,United Colors of Benetton Men Green Sneakers,1749,2499,-30%
